发布日期,发布部门,通知标题,通知链接,附件名,附件链接,下载次数
2022-02-24,【实践科】,关于举办福州大学第十三届企业经营模拟沙盘对抗赛的通知,https://jwch.fzu.edu.cn/info/1039/11872.htm,无附件,无附件链接,无下载次数
2022-02-24,【实践科】,关于对2021年学院教学有关数据进行统计的通知,https://jwch.fzu.edu.cn/info/1039/11871.htm,附件1福州大学本科教学业绩奖励指标解释.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834277,1313
2022-02-24,【实践科】,关于对2021年学院教学有关数据进行统计的通知,https://jwch.fzu.edu.cn/info/1039/11871.htm,附件2：2021年学院主办或承办全国性教学类会议情况表.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834275,1179
2022-02-22,【综合科】,关于组织参加教育部高教司2022年全国高教处长视频会议的通知,https://jwch.fzu.edu.cn/info/1035/11863.htm,无附件,无附件链接,无下载次数
2022-02-22,【质量办】,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/11861.htm,福州大学课堂教学质量评估表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834016,981
2022-02-22,【质量办】,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/11861.htm,2021—2022第二学期第一周课表20220221.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7834015,965
2022-02-21,【教学运行】,关于2022届预计毕业生核对电子注册学历照片的通知,https://jwch.fzu.edu.cn/info/1036/11859.htm,无附件,无附件链接,无下载次数
2022-02-20,【教学运行】,关于2022年春季学期公共教学楼教室实行错峰下课的通知,https://jwch.fzu.edu.cn/info/1036/11857.htm,无附件,无附件链接,无下载次数
2022-02-20,【计划科】,关于规范铜盘校区学生往返旗山校区进行实验实习教学活动用车的通知,https://jwch.fzu.edu.cn/info/1038/11856.htm,无附件,无附件链接,无下载次数
2022-02-18,【计划科】,关于2021-2022学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/info/1038/11855.htm,2021-2022学年第二学期国情课列表.docx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7833565,1352
2022-02-18,【计划科】,关于2021-2022学年第二学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/11854.htm,爱课程学生注册与选课指南.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7833564,2422
2022-02-18,【教学运行】,关于2021-2022第二学期学期选课、辅修选课补退选的通知,https://jwch.fzu.edu.cn/info/1036/11852.htm,无附件,无附件链接,无下载次数
2022-01-11,【实践科】,关于印发本科生创新创业实践与素质拓展学分认定管理实施办法的通知,https://jwch.fzu.edu.cn/info/1039/11841.htm,附件：福州大学本科生创新创业实践与素质拓展学分认定管理实施办法(2021级).doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7829320,7377
2022-01-11,【综合科】,教务处关于2022年寒假用印安排的通知,https://jwch.fzu.edu.cn/info/1035/11837.htm,无附件,无附件链接,无下载次数
2022-01-10,【实践科】,关于公布大学生学科竞赛项目级别认定结果的通知,https://jwch.fzu.edu.cn/info/1039/11833.htm,附件1：福州大学大学生学科竞赛级别直接认定项目汇总表（2022年1月版）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7829206,6901
2022-01-10,【实践科】,关于公布大学生学科竞赛项目级别认定结果的通知,https://jwch.fzu.edu.cn/info/1039/11833.htm,附件2：福州大学大学生学科竞赛项目级别认定一览表（2022年1月版）.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7829207,6435
2022-01-10,【教学运行】,关于2021-2022学年第二学期《大学物理实验》课程安排的通知,https://jwch.fzu.edu.cn/info/1036/11832.htm,2022大物实验上课表v6 - 2022.1.6.xlsx,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7720229,1878
2022-01-10,【教学运行】,关于2021-2022学年第二学期《大学物理实验》课程安排的通知,https://jwch.fzu.edu.cn/info/1036/11832.htm,2022大物实验（上）绪论课表-2022.1.2.xls,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7720230,1872
2022-01-06,【实践科】,关于第十二届全国大学生电子商务“三创赛”福州大学校赛比赛的通知,https://jwch.fzu.edu.cn/info/1039/11822.htm,附件下载.zip,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7720076,1163
2022-01-04,【实践科】,关于举办福州大学第八届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/info/1039/11820.htm,附件2：福州大学第八届桥梁设计大赛报名表.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7719925,913
2022-01-04,【实践科】,关于举办福州大学第八届桥梁设计大赛的通知,https://jwch.fzu.edu.cn/info/1039/11820.htm,附件3：福州大学第八届桥梁设计大赛-竞赛细则.doc,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=7719937,856
2022-01-04,【教学运行】,关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/info/1036/11819.htm,无附件,无附件链接,无下载次数
2022-01-04,【教学运行】,关于2021-2022学年第二学期辅修专业选课的通知,https://jwch.fzu.edu.cn/info/1036/11818.htm,无附件,无附件链接,无下载次数
