date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,temperature_2m_mean
2024-06-11 00:00:00+00:00,31.946,24.496,6.9999995,23256.617,27.531416
2024-06-12 00:00:00+00:00,32.596,24.546,21.1,21577.547,27.789747
2024-06-13 00:00:00+00:00,29.595999,25.196,12.9,9447.491,27.171
2024-06-14 00:00:00+00:00,31.296,24.946,18.900002,18294.21,27.29183
2024-06-15 00:00:00+00:00,28.896,25.046,25.300001,0.0,26.941833
2024-06-16 00:00:00+00:00,30.345999,24.946,36.6,10800.0,26.52933
2024-06-17 00:00:00+00:00,31.946,24.146,10.299999,11723.934,27.18558
2024-06-18 00:00:00+00:00,26.396,23.896,11.300001,0.0,24.77308
2024-06-19 00:00:00+00:00,31.196,24.896,2.4,23941.027,27.76683
2024-06-20 00:00:00+00:00,35.546,25.496,0.5,40948.72,29.704332
2024-06-21 00:00:00+00:00,35.946003,25.845999,0.0,43699.562,30.064749
2024-06-22 00:00:00+00:00,36.046,26.146,0.0,41814.797,30.548086
2024-06-23 00:00:00+00:00,35.946003,26.196,0.4,43006.344,30.325163
2024-06-24 00:00:00+00:00,35.246002,25.595999,6.6,36750.684,29.941832
2024-06-25 00:00:00+00:00,34.796,25.396,3.5,34069.027,28.891829
2024-06-26 00:00:00+00:00,32.646,26.095999,1.5000001,30152.947,28.668915
2024-06-27 00:00:00+00:00,34.696003,25.646,2.2,36280.367,29.520998
2024-06-28 00:00:00+00:00,32.746002,26.246,0.70000005,39008.957,29.233498
2024-06-29 00:00:00+00:00,32.846,25.845999,1.9000001,36000.0,29.102251
2024-06-30 00:00:00+00:00,34.296,26.095999,1.1,42654.24,29.860582
2024-07-01 00:00:00+00:00,34.696003,26.196,0.7,43200.0,30.11683
2024-07-02 00:00:00+00:00,35.196003,26.796,0.0,44770.63,30.675169
2024-07-03 00:00:00+00:00,36.746002,25.595999,0.0,45029.395,30.714752
2024-07-04 00:00:00+00:00,38.246002,27.595999,0.0,45339.117,32.246
2024-07-05 00:00:00+00:00,37.496002,26.646,0.0,45377.55,31.823082
2024-07-06 00:00:00+00:00,37.296,25.595999,0.0,45121.246,31.24183
2024-07-07 00:00:00+00:00,36.646,26.246,0.4,44651.44,31.062666
2024-07-08 00:00:00+00:00,36.596,25.496,0.0,44463.816,30.89183
2024-07-09 00:00:00+00:00,37.046,25.646,0.0,44462.14,31.12725
2024-07-10 00:00:00+00:00,37.646,25.646,0.0,44460.273,31.339754
2024-07-11 00:00:00+00:00,38.746002,26.996,0.4,44584.668,31.9835
2024-07-12 00:00:00+00:00,38.846,27.246,0.1,38957.773,32.170998
2024-07-13 00:00:00+00:00,39.096,26.546,0.70000005,42752.777,31.737669
2024-07-14 00:00:00+00:00,38.446003,26.296,0.2,44075.695,31.748083
2024-07-15 00:00:00+00:00,36.696003,26.246,0.0,43576.73,30.76266
2024-07-16 00:00:00+00:00,36.696003,26.345999,1.3000001,44573.586,30.395998
2024-07-17 00:00:00+00:00,38.346,26.095999,0.3,44564.535,31.65225
2024-07-18 00:00:00+00:00,40.196003,26.946,0.0,44816.496,33.014748
2024-07-19 00:00:00+00:00,39.746002,27.095999,0.0,44798.965,33.250168
2024-07-20 00:00:00+00:00,39.496002,27.796,0.0,44308.85,33.212666
2024-07-21 00:00:00+00:00,36.996002,26.595999,0.0,44785.418,31.70225
2024-07-22 00:00:00+00:00,36.596,26.396,0.6,44658.83,31.241837
2024-07-23 00:00:00+00:00,36.546,27.196,2.6999998,40342.793,30.968916
2024-07-24 00:00:00+00:00,35.246002,26.496,31.7,26020.787,29.337664
2024-07-25 00:00:00+00:00,27.595999,26.196,109.6,0.0,26.783495
2024-07-26 00:00:00+00:00,28.896,26.046,63.500004,0.0,27.12308
2024-07-27 00:00:00+00:00,29.246,26.196,8.800001,4005.5334,27.316832
2024-07-28 00:00:00+00:00,30.896,25.446,10.2,36270.406,27.61683
2024-07-29 00:00:00+00:00,31.696,26.146,5.2,34945.54,28.287666
2024-07-30 00:00:00+00:00,32.096,25.746,6.399999,38502.18,28.39808
2024-07-31 00:00:00+00:00,33.096,26.496,1.1,43925.594,29.275167
2024-08-01 00:00:00+00:00,35.796,27.396,0.4,43815.027,30.825165
2024-08-02 00:00:00+00:00,35.546,28.746,0.0,43918.21,31.793913
2024-08-03 00:00:00+00:00,37.696003,26.996,5.3999996,43200.0,31.070997
2024-08-04 00:00:00+00:00,35.496002,25.446,0.3,43806.715,29.920996
2024-08-05 00:00:00+00:00,34.496002,26.546,0.3,40502.07,29.793915
2024-08-06 00:00:00+00:00,33.896,25.446,0.2,43798.758,29.227247
2024-08-07 00:00:00+00:00,35.296,26.246,0.0,43408.145,30.350164
2024-08-08 00:00:00+00:00,35.846,26.046,1.6000001,43200.0,30.30433
2024-08-09 00:00:00+00:00,35.846,27.246,0.0,39600.0,30.52933
2024-08-10 00:00:00+00:00,34.496002,27.095999,3.3000002,41473.734,30.496002
2024-08-11 00:00:00+00:00,35.196003,26.246,0.4,43329.652,30.479332
2024-08-12 00:00:00+00:00,35.946003,27.646,0.70000005,36000.0,30.948084
2024-08-13 00:00:00+00:00,35.346,26.746,5.2999997,29048.76,29.704332
2024-08-14 00:00:00+00:00,31.046,25.646,15.300003,20278.865,27.427252
2024-08-15 00:00:00+00:00,29.896,26.046,24.800007,21793.012,27.268913
2024-08-16 00:00:00+00:00,29.696,25.396,19.1,9988.004,26.960579
2024-08-17 00:00:00+00:00,30.896,25.496,33.1,25098.6,27.085585
2024-08-18 00:00:00+00:00,30.746,25.595999,22.100002,31963.072,27.371
2024-08-19 00:00:00+00:00,30.196,26.196,11.700001,36000.0,27.675169
2024-08-20 00:00:00+00:00,29.696,25.296,9.099998,15176.943,27.020998
2024-08-21 00:00:00+00:00,32.596,25.646,18.300003,31997.404,28.173082
2024-08-22 00:00:00+00:00,31.046,26.196,14.800001,41018.7,28.577248
2024-08-23 00:00:00+00:00,32.746002,25.696,8.700001,42199.49,28.364746
2024-08-24 00:00:00+00:00,32.246002,25.546,10.0,39600.0,28.387665
2024-08-25 00:00:00+00:00,33.146,25.696,0.5,40710.363,28.543915
2024-08-26 00:00:00+00:00,32.946003,25.796,0.0,42979.91,29.11683
2024-08-27 00:00:00+00:00,34.196003,27.796,3.1999998,40165.074,30.9335
2024-08-28 00:00:00+00:00,31.396,26.496,26.000004,21634.92,28.14183
2024-08-29 00:00:00+00:00,31.595999,25.095999,4.8999996,33297.355,27.87308
2024-08-30 00:00:00+00:00,33.546,25.646,1.7,42719.715,29.129332
2024-08-31 00:00:00+00:00,33.596,26.246,6.1,29739.611,28.8835
2024-09-01 00:00:00+00:00,33.246002,26.896,2.1999998,41484.71,30.041832
2024-09-02 00:00:00+00:00,33.896,26.396,1.9000001,41878.39,29.535582
2024-09-03 00:00:00+00:00,32.396,25.046,0.3,41055.98,28.15642
2024-09-04 00:00:00+00:00,32.096,25.646,0.1,37159.33,28.379332
2024-09-05 00:00:00+00:00,32.546,26.345999,0.3,37754.16,29.018919
2024-09-06 00:00:00+00:00,31.946,26.496,4.7,35679.453,28.43975
2024-09-07 00:00:00+00:00,30.696,25.396,10.100002,29282.852,27.487665
2024-09-08 00:00:00+00:00,30.396,24.746,5.6000004,40578.89,27.333498
2024-09-09 00:00:00+00:00,31.595999,24.246,2.2,42142.18,27.523085
2024-09-10 00:00:00+00:00,33.696003,24.496,0.0,42054.918,28.941832
2024-09-11 00:00:00+00:00,34.196003,25.946,0.0,41966.926,29.85433
