科室,标题,发布日期,详情链接,附件名,附件下载次数,附件链接
【教学运行】,关于2025届预计毕业生补拍电子注册学历照片的通知,2025-04-10,https://jwch.fzu.edu.cn/info/1036/13988.htm,"['附件3：获得图像采集码途径.pdf', '附件1：行政北楼平面图.pdf', '附件2：证件照拍摄要求.pdf']","['586', '539', '2263']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774886', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774887', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15774888']"
【教研教改】,福州大学关于公布2023级数理金融实验班 学生主辅修专业及导师名单的通知,2025-04-09,https://jwch.fzu.edu.cn/info/1037/13986.htm,,,
【质量办】,关于开展2025年春季学期本科实验教学专项检查的通知,2025-04-08,https://jwch.fzu.edu.cn/info/1040/13983.htm,['附件.rar'],['405'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15773204']
【质量办】,关于开展2024年新上岗教师课堂授课达标考核的通知,2025-04-07,https://jwch.fzu.edu.cn/info/1040/13982.htm,"['附件2：2024年新上岗教师课堂授课达标考核情况汇总表---需一式三份报教评中心.docx', '附件1：2024年福州大学新上岗教师达标培训班名单.xlsx']","['330', '431']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771692', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15771690']"
【质量办】,关于举办福州大学第六十六场“教学有道”暨第一期智慧教学课程平台与AI智慧教学工具培训的通知,2025-04-07,https://jwch.fzu.edu.cn/info/1040/13981.htm,,,
【实践科】,关于开展大学生校外实践教学基地检查评估工作的通知,2025-04-02,https://jwch.fzu.edu.cn/info/1039/13977.htm,"['附件1：福州大学大学生校外实践教学基地检查评估汇总表.xlsx', '附件2：福州大学大学生校外实践教学基地检查评估表.xlsx']","['406', '441']","['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770743', '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770744']"
【教学运行】,关于2025年清明节放假课程调整的通知,2025-04-01,https://jwch.fzu.edu.cn/info/1036/13976.htm,,,
【教学运行】,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2025-04-01,https://jwch.fzu.edu.cn/info/1036/13974.htm,['2402大物A上、B上半期考-4.13下午.xlsx'],['616'],['/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15770526']
【实践科】,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,2025-03-31,https://jwch.fzu.edu.cn/info/1039/13973.htm,,,
【实践科】,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2025-03-24,https://jwch.fzu.edu.cn/info/1039/13948.htm,,,
