通知人,附件名,下载次数
教学运行,2302 高等数学A（中）期末考 6.23下午.xlsx,694
实践科,闽工信联软件〔2024〕41号福建省工业和信息化厅等八部门关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知.pdf,945
实践科,附件1：福州大学2024年国家级、省级大学生创新创业训练计划推荐立项项目汇总表 .doc,3903
实践科,附件2：福州大学第30期本科生科研训练计划立项项目汇总表.doc,9186
教材中心,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月，共计116种）.xlsx,930
教材中心,附件2：全国大中专教学用书目录(2024秋季).xlsx,1054
教学运行,2302  马克思主义基本原理 期末考试.xlsx,714
教学运行,2302 毛泽东思想和中国特色社会主义理论体系概论  期末考.xlsx,674
教学通知,附件4：推荐委员信息一览表.xlsx,760
教学通知,附件2：专家推荐信息表.docx,600
教学通知,附件1：教育部办公厅关于推荐新一届教指委委员的通知.pdf,500
教学通知,附件3：推荐委员汇总表.xlsx,489
教学运行,2302 工程制图C（下）期末考试 6.16下午.xlsx,617
教学运行,2302 德法 期末考.xlsx,670
教学运行,2302 概率期末考 6.2下午.xlsx,689
教学运行,2302 近现代 期末考试.xlsx,853
教学运行,2302 线性代数期末考 6.2下午.xlsx,709
实践科,附件：福州大学本科生创新创业实践与素质拓展学分认定汇总表.doc,2755
教研教改,附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf,760
教研教改,附件2：案例撰写格式.docx,635
教研教改,附件4：案例汇总表.docx,622
教研教改,附件3：案例申报表.docx,578
教研教改,附件1：福州大学第八届远志创业实验班招生简章.docx,1576
教研教改,附件2：远志创业实验班修读申请表.docx,856
教学运行,2302计算机语言课期末考试6.1.xlsx,845
实践科,国创省创结题附件.zip,1306
教材中心,附件1：福州大学教材管理实施细则（试行）.pdf,862
教材中心,附件2：福州大学本科教材编写人员汇总表.docx,667
教材中心,附件3：福州大学本科教材编写人员审核表.docx,512
教材中心,附件4：福州大学本科教材校外编写人员审核表.docx,632
教材中心,附件5：福州大学本科教材编写审核表.docx,731
教材中心,附件6：2024年福州大学拟出版教材汇总表.xlsx,649
教学运行,2302 工程制图E期末考试 5.12上午.xlsx,717
实践科,附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls,3228
实践科,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,2674
实践科,附件3：福州大学第二十四届数学竞赛大纲.pdf,2803
实践科,附件.zip,761
实践科,附件：维普论文检测系统查重标准及格式报告说明.doc,8311
教学运行,附件2：获得图像采集码途径.pdf,943
教学运行,附件1：行政北楼平面图.pdf,734
质量办,附件1：2023年福州大学新上岗教师教学达标培训班名单汇总表.xlsx,941
质量办,附件2：2023年新上岗教师课堂授课达标考核情况汇总表-学院一式三份报教务处.docx,710
教学运行,2302线代半期考4.27上午.xlsx,832
教学运行,2302大物半期考4.21下午.xlsx,835
教学运行,2302概率半期考4.14下午.xlsx,725
教学运行,2302高数半期考4.14上午.xlsx,961
实践科,附件：福州大学第十五届企业经营模拟沙盘对抗赛报名表.doc,1008
实践科,附件2 2024年（第17届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx,900
实践科,附件1：中大计赛函[2024]1 号 关于举办“2024 年（第 17 届）中国大学生计算机设计大赛”的 通 知.pdf,1229
实践科,附件2：福州大学第四届大学生先进成图技术与产品信息建模创新大赛报名表.xls,877
实践科,附件1-4.doc,852
实践科,附件：数字中国建设峰会组委会秘书处关于商请邀请省内高校学生参与2024数字中国创新大赛的函.pdf,1321
质量办,附件2 福州大学教师教学创新大赛产教融合赛道 学院推荐名单汇总表.docx,753
质量办,附件1 关于举办第第四届全国高校教师教学创新大赛产教融合赛道赛事的通知.pdf,1452
实践科,第30期SRTP附件.zip,3920
教学运行,福州大学参军退伍复学后学生转专业审批表.doc,730
教学运行,福州大学本科生转专业管理实施办法（暂行）.docx,972
计划科,附件1国际化拔尖创新人才科研训练具体课程清单.xlsx,2894
