Title,Holder,Date,附件,附件名,下载次数
关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,教学运行,2024/5/27,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623545,附件1：关于组织申报福建高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知（闽高会[2024]1号）.pdf,422
,,,,,
关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,教学运行,2024/5/24,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622719,2302 高等数学A（中）期末考 6.23下午.xlsx,395
,,,,,
关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,教学运行,2024/5/24,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622014,闽工信联软件〔2024〕41号福建省工业和信息化厅等八部门关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知.pdf,639
,,,,,
关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,实践科,2024/5/22,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622146,附件1：福州大学2024年国家级、省级大学生创新创业训练计划推荐立项项目汇总表 .doc,1818
,,,,,
福州大学关于开展优秀拔尖创新人才培养案例征集的通知,教研教改,2024/5/22,0,0,0
,,,,,
福州大学关于开展第八届远志创业实验班招生工作的通知,教研教改,2024/5/17,0,0,0
,,,,,
关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,教学运行,2024/5/15,0,0,0
,,,,,
关于2025届预计毕业生核对电子注册学历信息的通知,教学运行,2024/5/15,0,0,0
,,,,,
关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,教学运行,2024/5/15,0,0,0
,,,,,
关于公布第十届桥梁设计大赛获奖名单的通知,实践科,2024/5/11,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620416,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月，共计116种）.xlsx,411
,,,,,
关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,实践科,2024/5/10,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620411,2302  马克思主义基本原理 期末考试.xlsx,434
,,,,,
关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,实践科,2024/5/10,0,0,0
,,,,,
关于举办福州大学第五十二场“教学有道” 研讨活动的通知,教材中心,2024/5/9,0,0,0
,,,,,
关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,综合科,2024/5/8,0,0,0
,,,,,
2023-2024学年第二学期在校学生申请辅修专业的通知,计划科,2024/5/7,0,0,0
,,,,,
关于组织申报2024-2025学年第一学期通识教育选修课的通知,计划科,2024/5/6,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620410,2302 毛泽东思想和中国特色社会主义理论体系概论  期末考.xlsx,364
,,,,,
关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,实践科,2024/4/30,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619035,附件4：推荐委员信息一览表.xlsx,283
,,,,,
福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,实践科,2024/4/30,0,0,0
,,,,,
关于开展2024年拟出版本科教材审核工作的通知,教材中心,2024/4/29,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618057,2302 工程制图C（下）期末考试 6.16下午.xlsx,347
,,,,,
关于对2024届本科毕业设计（论文）试行AIGC检测的通知,实践科,2024/4/28,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618055,2302 德法 期末考.xlsx,401
,,,,,
关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,教学运行,2024/4/28,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14615348,2302 概率期末考 6.2下午.xlsx,434
,,,,,
