通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,2024-12-04,https://jwch.fzu.edu.cn/../info/1036/13780.htm,2401概率期末考-12.15下午.xlsx,257,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15640022
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2024-12-03,https://jwch.fzu.edu.cn/../info/1036/13779.htm,2401马原随堂考.xlsx,213,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639802
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2024-12-03,https://jwch.fzu.edu.cn/../info/1036/13779.htm,2401毛概随堂考.xlsx,222,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639803
实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,2024-12-02,https://jwch.fzu.edu.cn/../info/1039/13778.htm,附件：“三创赛”福州大学校赛附件.zip,220,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15639505
计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,2024-12-02,https://jwch.fzu.edu.cn/../info/1038/13777.htm,,,
实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,2024-11-29,https://jwch.fzu.edu.cn/../info/1039/13773.htm,,,
实践科,关于组织申报2024年高校双碳实践育人案例的通知,2024-11-28,https://jwch.fzu.edu.cn/../info/1039/13772.htm,附件：中国高等教育学会碳中和与清洁能源教育专业委员会关于开展 2024 年高校双碳实践育人案例征集的通知.pdf,257,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15637409
质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,2024-11-26,https://jwch.fzu.edu.cn/../info/1040/13769.htm,,,
质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,2024-11-25,https://jwch.fzu.edu.cn/../info/1040/13768.htm,,,
教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn/../info/1036/13766.htm,2401制图E期末考-12.8上午.xlsx,243,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635768
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn/../info/1036/13765.htm,2401高等数学A下期末考-12.1上午.xlsx,280,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15635767
教材中心,关于开展2024年本科数字教材建设立项工作的通知,2024-11-21,https://jwch.fzu.edu.cn/../info/1042/13763.htm,附件1.福州大学本科数字教材建设立项申报表.docx,216,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573426
教材中心,关于开展2024年本科数字教材建设立项工作的通知,2024-11-21,https://jwch.fzu.edu.cn/../info/1042/13763.htm,附件2.福州大学本科数字教材建设立项申报汇总表.xls,162,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573427
教材中心,关于开展2024年本科数字教材建设立项工作的通知,2024-11-21,https://jwch.fzu.edu.cn/../info/1042/13763.htm,附件3.福州大学本科教材编写人员政治审查表.docx,180,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15573428
实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,2024-11-19,https://jwch.fzu.edu.cn/../info/1039/13761.htm,附件1：获省赛参赛资格名单.docx,1650,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15572980
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,2024-11-15,https://jwch.fzu.edu.cn/../info/1042/13760.htm,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年08月，共计117种）.xlsx,177,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571692
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,2024-11-15,https://jwch.fzu.edu.cn/../info/1042/13760.htm,附件2：全国大中专教学用书目录(2025春)(1).xlsx,187,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571693
综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,2024-11-15,https://jwch.fzu.edu.cn/../info/1035/13759.htm,,,
质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,2024-11-14,https://jwch.fzu.edu.cn/../info/1040/13758.htm,,,
实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,2024-11-13,https://jwch.fzu.edu.cn/../info/1039/13754.htm,附件1：2024年福州大学第十八届本科生数学建模竞赛获奖名单.xlsx,2022,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15571132
教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-11-12,https://jwch.fzu.edu.cn/../info/1036/13752.htm,2401习概随堂考.xlsx,353,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15565434
计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,2024-11-11,https://jwch.fzu.edu.cn/../info/1038/13750.htm,,,
教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,2024-11-11,https://jwch.fzu.edu.cn/../info/1042/13749.htm,,,
教学运行,关于公布2024学年各学院转专业实施细则的通知,2024-11-08,https://jwch.fzu.edu.cn/../info/1036/13748.htm,2024各学院转专业细则.pdf,4158,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14924468
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,2024-11-07,https://jwch.fzu.edu.cn/../info/1036/13746.htm,2401线性代数、线性代数与解析几何半期考11.24上午.xlsx,368,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14923476
教研教改,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,2024-11-05,https://jwch.fzu.edu.cn/../info/1037/13743.htm,,,
计划科,关于2024-2025学年第一学期在校学生申请辅修专业的通知,2024-11-01,https://jwch.fzu.edu.cn/../info/1038/13741.htm,,,
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2024-10-29,https://jwch.fzu.edu.cn/../info/1036/13739.htm,2401高等数学A（上）、B（上）、C（上）、D半期考11.17上午.xlsx,1497,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920804
质量办,关于期中党政领导集中听课的通知,2024-10-28,https://jwch.fzu.edu.cn/../info/1040/13738.htm,附件1：福州大学课堂教学质量评估表.doc,139,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920325
质量办,关于期中党政领导集中听课的通知,2024-10-28,https://jwch.fzu.edu.cn/../info/1040/13738.htm,附件2：福州大学课堂教学质量评估表（思政课）.docx,128,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920326
质量办,关于期中党政领导集中听课的通知,2024-10-28,https://jwch.fzu.edu.cn/../info/1040/13738.htm,附件3：第10-11周课表.xlsx,171,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14920327
