通知人,标题,日期,链接,是否存在附件,附件下载次数
计划科,关于核对2025-2026学年第一学期通识教育选修课开课信息的有关通知,"
2025-06-19
         ",https://jwch.fzu.edu.cn/info/1038/14123.htm,False,
教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》和《高等数学C（下）》课程期末考试安排的通知,"
2025-06-18
         ",https://jwch.fzu.edu.cn/info/1036/14121.htm,True,255
综合科,关于召开2024-2025学年春季学期期末本科教育教学工作会议的通知,"
2025-06-18
         ",https://jwch.fzu.edu.cn/info/1035/14120.htm,False,
教学运行,关于2024-2025学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,"
2025-06-17
         ",https://jwch.fzu.edu.cn/info/1036/14117.htm,True,134
教学运行,关于2024-2025学年第二学期《大学英语（三）》课程期末考试安排的通知,"
2025-06-17
         ",https://jwch.fzu.edu.cn/info/1036/14116.htm,True,224
教学运行,关于2024-2025学年第二学期《英语专题》课程期末考试安排的通知,"
2025-06-17
         ",https://jwch.fzu.edu.cn/info/1036/14115.htm,True,182
教学运行,关于2025-2026学年第一学期本科生学期选课的通知,"
2025-06-16
         ",https://jwch.fzu.edu.cn/info/1036/14114.htm,False,
教学运行,关于2024-2025学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,"
2025-06-10
         ",https://jwch.fzu.edu.cn/info/1036/14107.htm,True,208
教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,"
2025-06-06
         ",https://jwch.fzu.edu.cn/info/1042/14105.htm,True,178
质量办,关于上报学院院级本科教育教学相关规章制度的通知,"
2025-06-03
         ",https://jwch.fzu.edu.cn/info/1040/14098.htm,False,
教学通知,关于上报学院院级本科教育教学相关规章制度的通知,"
2025-06-03
         ",https://jwch.fzu.edu.cn/info/1012/14097.htm,False,
教学运行,关于2024-2025学年第二学期《马克思主义基本原理》、《毛泽东思想和中国特色社会主义理论体系概论》和《思想道德与法治》课程期末考试安排的通知,"
2025-06-03
         ",https://jwch.fzu.edu.cn/info/1036/14095.htm,True,249
实践科,关于公布第十一届桥梁设计大赛获奖名单的通知,"
2025-05-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14092,False,
实践科,关于公布第九届网络信息安全竞赛获奖名单的通知,"
2025-05-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14091,False,
质量办,关于举办福州大学第七十一场“教学有道”研讨活动的通知,"
2025-05-29
         ",https://jwch.fzu.edu.cn/info/1040/14090.htm,False,
教学运行,福州大学关于印发本科生转专业管理实施办法的通知,"
2025-05-28
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1036&wbnewsid=14089,False,
实践科,关于开展大学生校外实践教学基地抽检工作的通知,"
2025-05-28
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14086,True,69
教学运行,关于2025年端午节放假课程调整的通知,"
2025-05-27
         ",https://jwch.fzu.edu.cn/info/1036/14084.htm,False,
教学运行,关于2024-2025学年第二学期《概率论与数理统计》课程期末考试安排的通知,"
2025-05-27
         ",https://jwch.fzu.edu.cn/info/1036/14081.htm,True,194
质量办,关于举办福州大学第七十场“教学有道”暨第三期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-26
         ",https://jwch.fzu.edu.cn/info/1040/14076.htm,False,
实践科,福州大学关于修订印发《本科生毕业设计（论文）规范使用AI工具的规定》的通知,"
2025-05-22
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14075,False,
教学运行,关于2024-2025学年第二学期《工程制图C（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,"
2025-05-22
         ",https://jwch.fzu.edu.cn/info/1036/14072.htm,True,210
实践科,关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,"
2025-05-21
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070,True,299
综合科,关于2024-2025学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,"
2025-05-20
         ",https://jwch.fzu.edu.cn/info/1035/14068.htm,False,
教材中心,关于做好2025-2026学年第一学期教材选用与征订工作的通知,"
2025-05-16
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14061,True,60
教学运行,关于2024-2025学年第二学期《中国近现代史纲要》课程期末考试安排的通知,"
2025-05-15
         ",https://jwch.fzu.edu.cn/info/1036/14060.htm,True,352
实践科,关于组织申报2025年本科生开放探索性实验项目（课程）的通知,"
2025-05-15
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14059,True,148
实践科,关于开展2023年本科生开放探索性实验项目（课程）结题验收工作的通知,"
2025-05-15
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14058,True,155
教学运行,关于2024-2025学年第二学期2023级、2024级体育理论教室安排的通知,"
2025-05-14
         ",https://jwch.fzu.edu.cn/info/1036/14055.htm,False,
质量办,关于举办福州大学第六十九期“教学有道”研讨活动的通知,"
2025-05-14
         ",https://jwch.fzu.edu.cn/info/1040/14054.htm,False,
教学运行,关于2024-2025学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,"
2025-05-12
         ",https://jwch.fzu.edu.cn/info/1036/14053.htm,True,233
教学运行,关于2024-2025学年第二学期计算机语言类课程期末考试安排的通知,"
2025-05-12
         ",https://jwch.fzu.edu.cn/info/1036/14052.htm,True,512
教学运行,关于2024-2025学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,"
2025-05-12
         ",https://jwch.fzu.edu.cn/info/1036/14051.htm,True,274
实践科,关于做好2023年、2024年本科生科研训练计划项目结题工作的通知,"
2025-05-12
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14050,True,960
计划科,关于组织申报2025-2026学年第一学期通识教育选修课的通知,"
2025-05-12
         ",https://jwch.fzu.edu.cn/info/1038/14048.htm,False,
实践科,关于公布第十五届大学生节能减排社会实践与科技竞赛暨第十一届材料创新、设计及应用竞赛获奖名单的通知,"
2025-05-09
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14045,False,
质量办,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",https://jwch.fzu.edu.cn/info/1040/14044.htm,True,415
教学通知,关于开展2025年度教师本科教学综合测评工作的通知,"
2025-05-09
         ",https://jwch.fzu.edu.cn/info/1012/14043.htm,True,467
教研教改,福州大学关于公布2023级数理综合班 专业分流学生名单及学科导师名单的通知,"
2025-05-09
         ",https://jwch.fzu.edu.cn/info/1037/14042.htm,False,
计划科,2024-2025学年第二学期在校学生申请辅修专业的通知,"
2025-05-06
         ",https://jwch.fzu.edu.cn/info/1038/14038.htm,False,
质量办,关于举办福州大学第六十八场“教学有道”暨第二期智慧教学课程平台与AI智慧教学工具培训的通知,"
2025-05-06
         ",https://jwch.fzu.edu.cn/info/1040/14037.htm,False,
实践科,关于举办2025年福州大学第二十五届数学竞赛暨第十七届全国大学生数学竞赛福建赛区选拔赛的通知,"
2025-04-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14034,True,1569
实践科,关于公布2025年（总第三十一期）本科生科研训练计划立项项目的通知,"
2025-04-30
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14033,True,2700
质量办,关于期中党政领导集中听课的通知,"
2025-04-27
         ",https://jwch.fzu.edu.cn/info/1040/14032.htm,True,314
实践科,福州大学关于公布第二十二届程序设计竞赛获奖名单的通知,"
2025-04-24
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14020,False,
实践科,关于开展2025届本科毕业设计（论文）抽检送审工作的通知,"
2025-04-24
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14018,True,2422
质量办,关于福州大学第六十八场“教学有道”研讨活动延期举行的通知,"
2025-04-24
         ",https://jwch.fzu.edu.cn/info/1040/14017.htm,False,
教学运行,关于2025年劳动节放假课程调整的通知,"
2025-04-24
         ",https://jwch.fzu.edu.cn/info/1036/14016.htm,False,
教学运行,关于2024-2025学年第二学期《工程制图E》课程期末考试安排的通知,"
2025-04-23
         ",https://jwch.fzu.edu.cn/info/1036/14012.htm,True,210
质量办,关于举办福州大学第六十八场“教学有道”研讨活动的通知,"
2025-04-23
         ",https://jwch.fzu.edu.cn/info/1040/14011.htm,False,
实践科,关于举办福州大学第九届网络信息安全竞赛的通知,"
2025-04-22
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14010,False,
实践科,关于组织申报2025年大学生劳动教育实践基地的通知,"
2025-04-22
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008,True,162
教学运行,关于2024-2025学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,"
2025-04-22
         ",https://jwch.fzu.edu.cn/info/1036/14007.htm,True,492
质量办,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",https://jwch.fzu.edu.cn/info/1040/14006.htm,False,
教学通知,关于开展2025届本科毕业生在校学习体验调研的通知,"
2025-04-22
         ",https://jwch.fzu.edu.cn/info/1012/14005.htm,False,
教学运行,关于2026届预计毕业生核对电子注册学历信息的通知,"
2025-04-17
         ",https://jwch.fzu.edu.cn/info/1036/14002.htm,False,
实践科,关于举办2025年福州大学大学生电子设计竞赛暨全国大学生电子设计竞赛选拔赛的通知,"
2025-04-16
         ",https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13999,False,
质量办,关于举办福州大学第六十七场“教学有道”研讨活动——暨2025年全国周培源大学生力学竞赛进校园活动的通知,"
2025-04-16
         ",https://jwch.fzu.edu.cn/info/1040/13997.htm,False,
